Order,AreaNumb,Taxon,Rel,Hclust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Verrucomicrobia,0.040611657,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,417,Other,0.216132128,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Actinobacteria,0.020341981,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Bacteroidetes,0.04245283,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Cyanobacteria,0.016509434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Firmicutes,0.200766509,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Planctomycetes,0.002948113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Proteobacteria,0.675707547,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Verrucomicrobia,0.009139151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,465,Other,0.032134435,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Actinobacteria,0.228203005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Bacteroidetes,0.057849284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Cyanobacteria,0.007452975,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Firmicutes,0.006388265,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Planctomycetes,0.004850349,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Proteobacteria,0.659765764,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Verrucomicrobia,0.022595528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,513,Other,0.01289483,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Actinobacteria,0.123464661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Bacteroidetes,0.136809894,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Cyanobacteria,0.006970122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Firmicutes,0.016405287,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Planctomycetes,0.020145353,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Proteobacteria,0.502443793,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Verrucomicrobia,0.148285095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,515,Other,0.045475795,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Actinobacteria,0.284237726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Bacteroidetes,0.12833764,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Cyanobacteria,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Firmicutes,0.018518519,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Planctomycetes,0.000861326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Proteobacteria,0.519379845,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Verrucomicrobia,0.034883721,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,522,Other,0.013781223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Actinobacteria,0.017932833,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Bacteroidetes,0.053037713,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Cyanobacteria,0.008151288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Firmicutes,0.131507445,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Planctomycetes,0.000434735,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Proteobacteria,0.775785241,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Verrucomicrobia,0.003803934,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,523,Other,0.009346811,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Actinobacteria,0.008587365,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Bacteroidetes,0.029549877,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Cyanobacteria,0.00729018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Firmicutes,0.062238941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Planctomycetes,0.001426904,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Proteobacteria,0.837332987,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Verrucomicrobia,0.009625114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,526,Other,0.043948632,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Actinobacteria,0.037332311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Bacteroidetes,0.259563051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Cyanobacteria,0.020007666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Firmicutes,0.007282484,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Planctomycetes,0.007819088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Proteobacteria,0.576312764,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Verrucomicrobia,0.049750862,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,530,Other,0.041931774,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,552,Actinobacteria,0.003906937,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,552,Bacteroidetes,0.191791912,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,552,Cyanobacteria,0.025060716,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,552,Firmicutes,0.228960614,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,552,Planctomycetes,0.003062194,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
